iter	Logloss
0	0.6879638494
1	0.6822925315
2	0.6762904254
3	0.670944281
4	0.6649794129
5	0.6596588431
6	0.6540906998
7	0.6495800603
8	0.6425310658
9	0.6368796945
10	0.6322489227
11	0.6264891809
12	0.622426075
13	0.6176608753
14	0.6134115942
15	0.6093164077
16	0.6055238505
17	0.6024612715
18	0.5972702631
19	0.5929885999
20	0.5887316806
21	0.5853566586
22	0.5817207554
23	0.5777068217
24	0.5746336868
25	0.5704282004
26	0.5673609088
27	0.564451026
28	0.5614603196
29	0.557096113
30	0.5525296724
31	0.5486390028
32	0.5451483711
33	0.5423390003
34	0.5393616401
35	0.5363865202
36	0.5347189375
37	0.5320634398
38	0.5297769098
39	0.5272962009
40	0.5247085966
41	0.5230672351
42	0.5202474427
43	0.5174904749
44	0.5144594841
45	0.5125908562
46	0.5105567216
47	0.5089477285
48	0.5067456088
49	0.5050107042
50	0.5028924705
51	0.5011524378
52	0.4996197587
53	0.497662977
54	0.4953991119
55	0.4941632123
56	0.4915299681
57	0.4887635807
58	0.486652199
59	0.4847302511
60	0.4829052367
61	0.4806256712
62	0.4789752027
63	0.4770849667
64	0.4757127464
65	0.4737700998
66	0.4709151506
67	0.4682747865
68	0.4652809677
69	0.4637422102
70	0.4621216564
71	0.4605960572
72	0.4582732786
73	0.4574128556
74	0.4559646277
75	0.4534729264
76	0.4522506731
77	0.4502087512
78	0.4485766035
79	0.4468962749
80	0.4450167821
81	0.4434578898
82	0.4417244191
83	0.4399330354
84	0.4384508328
85	0.4367970709
86	0.4357888144
87	0.4336894322
88	0.4318204486
89	0.4302014686
90	0.4283924907
91	0.4270692748
92	0.4258708822
93	0.4241985293
94	0.4221579455
95	0.4203816451
96	0.4188360534
97	0.4170261128
98	0.4156020194
99	0.4138831325
100	0.4123319162
101	0.4111179859
102	0.4099829068
103	0.4078777443
104	0.4061131594
105	0.4048781128
106	0.4034196944
107	0.4023993861
108	0.4013965684
109	0.3997120842
110	0.3983612917
111	0.3973417986
112	0.3956271186
113	0.3936811212
114	0.3925757462
115	0.3913233505
116	0.3902386236
117	0.3887996864
118	0.3868280601
119	0.3853893765
120	0.3840481551
121	0.3824212912
122	0.3809734968
123	0.3796211682
124	0.3788898446
125	0.3777999829
126	0.3760272548
127	0.3748401188
128	0.3736431762
129	0.3724769684
130	0.3712162916
131	0.3691762113
132	0.3678476507
133	0.3668539472
134	0.3655535962
135	0.3645576713
136	0.3632550666
137	0.3612950426
138	0.3596725611
139	0.3586303281
140	0.3577835385
141	0.3564350221
142	0.3554003207
143	0.3541809113
144	0.3529496112
145	0.3518538927
146	0.3509314524
147	0.3493620209
148	0.3474012676
149	0.3462910764
